     40/99     8.47G   0.03412   0.01078  0.009139   0.05404        62       800    0.8209     0.668    0.7002    0.4014   0.03479  0.009311   0.01408
     41/99     8.47G    0.0327    0.0108  0.008053   0.05155        59       800    0.8449    0.6622    0.7054    0.4012   0.03277  0.009225   0.01422
     42/99     8.47G   0.03287   0.01058   0.00763   0.05108        49       800    0.8522    0.6585    0.7084    0.4045   0.03259  0.009226   0.01367
     43/99     8.47G   0.03224   0.01057  0.007821   0.05064        50       800    0.8615    0.6656    0.7181    0.4098   0.03253  0.009059   0.01305
     44/99     8.47G   0.03199   0.01063  0.008006   0.05063        47       800     0.845     0.666    0.7045    0.4109   0.03193  0.009291    0.0135
     45/99     8.47G   0.03126    0.0108  0.007979   0.05004        63       800    0.8424    0.6585     0.703    0.4095   0.03207  0.009204   0.01395
     46/99     8.47G   0.03214   0.01033  0.007834    0.0503        52       800     0.834    0.6488    0.6919    0.3983   0.03243  0.009237   0.01433
     47/99     8.47G   0.03084    0.0106  0.007081   0.04853        80       800    0.8449    0.6738    0.7075    0.4137   0.03123  0.009134   0.01437
     48/99     8.47G   0.03021    0.0103  0.007795    0.0483        46       800    0.8447    0.6555    0.7044    0.4161   0.03162  0.009061   0.01517
     49/99     8.47G   0.02992   0.01014  0.006913   0.04697        39       800    0.8382    0.6641    0.7086    0.4151    0.0312  0.009155   0.01434
     50/99     8.47G   0.02938  0.009992  0.007191   0.04656        29       800    0.8413    0.6186    0.6898    0.4041   0.03158  0.009314   0.01649
     51/99     8.47G   0.03037   0.01064  0.007657   0.04866        49       800    0.8356    0.6798    0.7123    0.4189   0.03192   0.00898   0.01401
     52/99     8.47G   0.03007   0.01019  0.006853   0.04711        66       800    0.8612    0.6692    0.7164    0.4235   0.03081  0.009006   0.01418
     53/99     8.47G   0.02872    0.0102   0.00627   0.04518        50       800     0.857    0.6563    0.7132    0.4293   0.03008  0.009079   0.01499
     54/99     8.47G   0.02922   0.01018  0.006164   0.04556        61       800    0.8817    0.6644    0.7287    0.4364   0.03092  0.008977   0.01379
     55/99     8.47G   0.02927   0.00986  0.006392   0.04552        47       800    0.8772     0.635    0.7073    0.4219   0.03075  0.009003   0.01581
     56/99     8.47G   0.02894  0.009651  0.005561   0.04416        65       800    0.8569    0.6546    0.7091    0.4198   0.03076  0.009125     0.015
     57/99     8.47G   0.02734  0.009516   0.00556   0.04242        39       800    0.8645    0.6546    0.7209    0.4376    0.0304  0.008965   0.01479
     58/99     8.47G   0.02803  0.009948   0.00585   0.04383        50       800    0.8486    0.6864    0.7256    0.4412   0.03029  0.008896   0.01381
     59/99     8.47G   0.02743  0.009749   0.00524   0.04242        72       800    0.8505    0.6885    0.7346     0.444   0.02982  0.008894   0.01317
     60/99     8.47G   0.02829   0.00964   0.00558   0.04351        74       800    0.8587    0.6663    0.7187     0.431   0.03056  0.009114   0.01326
     61/99     8.47G     0.027  0.009621  0.005612   0.04224        83       800    0.8791    0.6785    0.7344    0.4462   0.02974  0.008878   0.01289
     62/99     8.47G   0.02636  0.009291  0.004486   0.04014        76       800    0.8726    0.6607    0.7284    0.4383   0.02926  0.008851   0.01396
